Nome,Data de Criação,Pull Requests Aceitas,Total de Releases,Última Atualização,Linguagem Primária,Issues Fechadas,Issues Abertas
freeCodeCamp,2014-12-24T17:49:19Z,24431,0,2025-03-02T21:37:16Z,TypeScript,100,0
free-programming-books,2013-10-11T06:50:37Z,6787,0,2025-03-02T21:50:45Z,HTML,100,0
awesome,2014-07-11T13:42:37Z,662,0,2025-03-02T21:41:05Z,N/A,96,4
build-your-own-x,2018-05-09T12:03:18Z,140,0,2025-03-02T21:55:06Z,Markdown,100,0
public-apis,2016-03-20T23:49:42Z,1872,0,2025-03-02T21:54:19Z,Python,100,0
coding-interview-university,2016-06-06T02:34:12Z,415,0,2025-03-02T21:52:45Z,N/A,83,17
developer-roadmap,2017-03-15T13:45:52Z,3344,1,2025-03-02T20:31:07Z,TypeScript,100,0
system-design-primer,2017-02-26T16:15:28Z,199,0,2025-03-02T21:52:05Z,Python,38,62
996.ICU,2019-03-26T07:31:14Z,1068,0,2025-03-02T18:21:29Z,N/A,0,0
awesome-python,2014-06-27T21:00:06Z,543,0,2025-03-02T21:36:33Z,Python,0,0
react,2013-05-24T16:15:54Z,11386,103,2025-03-02T21:52:36Z,JavaScript,100,0
project-based-learning,2017-04-12T05:07:46Z,182,0,2025-03-02T21:49:59Z,N/A,61,39
awesome-selfhosted,2015-06-01T02:33:17Z,2393,1,2025-03-02T21:51:19Z,N/A,100,0
vue,2013-07-29T03:24:51Z,1136,249,2025-03-02T15:10:40Z,TypeScript,100,0
Python,2016-07-16T09:44:01Z,2916,0,2025-03-02T21:25:27Z,Python,100,0
javascript-algorithms,2018-03-24T07:47:04Z,302,0,2025-03-02T21:52:56Z,JavaScript,70,30
linux,2011-09-04T22:48:12Z,10,0,2025-03-02T21:28:58Z,C,0,0
tensorflow,2015-11-07T01:19:20Z,29558,214,2025-03-02T21:45:15Z,C++,100,0
You-Dont-Know-JS,2013-11-16T02:37:24Z,367,0,2025-03-02T21:04:58Z,N/A,99,1
CS-Notes,2018-02-13T14:56:24Z,374,0,2025-03-02T18:47:53Z,N/A,100,0
ohmyzsh,2009-08-28T18:15:37Z,3289,0,2025-03-02T21:42:36Z,Shell,100,0
computer-science,2014-05-04T00:18:39Z,284,0,2025-03-02T21:34:28Z,N/A,100,0
AutoGPT,2023-03-16T09:21:07Z,2609,42,2025-03-02T21:38:55Z,Python,100,0
bootstrap,2011-07-29T21:19:00Z,8845,89,2025-03-02T21:05:42Z,JavaScript,100,0
flutter,2015-03-06T22:54:58Z,41079,7,2025-03-02T18:18:25Z,Dart,99,1
vscode,2015-09-03T20:23:38Z,31601,156,2025-03-02T19:41:59Z,TypeScript,100,0
gitignore,2010-11-08T20:17:14Z,1575,0,2025-03-02T21:25:37Z,N/A,0,0
Python-100-Days,2018-03-01T16:05:52Z,13,0,2025-03-02T19:39:02Z,Jupyter Notebook,42,58
the-book-of-secret-knowledge,2018-06-23T10:43:14Z,122,0,2025-03-02T21:50:18Z,N/A,0,0
the-art-of-command-line,2015-05-20T15:11:03Z,317,0,2025-03-02T20:15:22Z,N/A,66,34
stable-diffusion-webui,2022-08-22T14:05:26Z,1872,27,2025-03-02T21:36:55Z,Python,100,0
JavaGuide,2018-05-07T13:27:00Z,1147,0,2025-03-02T20:51:46Z,Java,99,1
javascript,2012-11-01T23:13:50Z,811,0,2025-03-02T21:23:19Z,JavaScript,97,3
transformers,2018-10-29T13:56:00Z,14667,180,2025-03-02T21:21:50Z,Python,100,0
awesome-go,2014-07-06T13:42:15Z,3399,0,2025-03-02T21:24:39Z,Go,100,0
youtube-dl,2010-10-31T14:35:07Z,1640,341,2025-03-02T21:13:02Z,Python,99,1
ollama,2023-06-26T19:39:32Z,2052,116,2025-03-02T21:48:38Z,Go,96,4
next.js,2016-10-05T23:32:51Z,21091,1000,2025-03-02T21:49:06Z,JavaScript,100,0
