Nome,Data de Criação,Pull Requests Aceitas,Total de Releases,Última Atualização,Linguagem Primária,Issues Fechadas,Issues Abertas,Idade (anos),Dias desde última atualização,Taxa de Fechamento de Issues
freeCodeCamp,2014-12-24 17:49:19+00:00,24373,0,2025-02-23 20:49:51+00:00,TypeScript,100,0,10.175342465753424,0,1.0
free-programming-books,2013-10-11 06:50:37+00:00,6787,0,2025-02-23 20:40:17+00:00,HTML,100,0,11.378082191780821,0,1.0
awesome,2014-07-11 13:42:37+00:00,661,0,2025-02-23 20:46:34+00:00,,96,4,10.63013698630137,0,0.96
build-your-own-x,2018-05-09 12:03:18+00:00,140,0,2025-02-23 20:51:40+00:00,Markdown,100,0,6.8,0,1.0
public-apis,2016-03-20 23:49:42+00:00,1872,0,2025-02-23 20:36:29+00:00,Python,100,0,8.934246575342465,0,1.0
coding-interview-university,2016-06-06 02:34:12+00:00,415,0,2025-02-23 20:28:34+00:00,,83,17,8.723287671232876,0,0.83
developer-roadmap,2017-03-15 13:45:52+00:00,3339,1,2025-02-23 20:36:50+00:00,TypeScript,100,0,7.950684931506849,0,1.0
system-design-primer,2017-02-26 16:15:28+00:00,199,0,2025-02-23 20:46:50+00:00,Python,38,62,7.997260273972603,0,0.38
996.ICU,2019-03-26 07:31:14+00:00,1068,0,2025-02-23 16:43:31+00:00,,0,0,5.920547945205479,0,
awesome-python,2014-06-27 21:00:06+00:00,543,0,2025-02-23 20:37:38+00:00,Python,0,0,10.668493150684931,0,
react,2013-05-24 16:15:54+00:00,11363,103,2025-02-23 20:31:38+00:00,JavaScript,100,0,11.761643835616438,0,1.0
project-based-learning,2017-04-12 05:07:46+00:00,182,0,2025-02-23 20:31:42+00:00,,61,39,7.873972602739726,0,0.61
awesome-selfhosted,2015-06-01 02:33:17+00:00,2393,1,2025-02-23 20:50:37+00:00,,100,0,9.73972602739726,0,1.0
vue,2013-07-29 03:24:51+00:00,1136,249,2025-02-23 16:12:35+00:00,TypeScript,100,0,11.580821917808219,0,1.0
Python,2016-07-16 09:44:01+00:00,2913,0,2025-02-23 20:50:10+00:00,Python,100,0,8.613698630136986,0,1.0
javascript-algorithms,2018-03-24 07:47:04+00:00,302,0,2025-02-23 20:33:08+00:00,JavaScript,70,30,6.926027397260274,0,0.7
linux,2011-09-04 22:48:12+00:00,10,0,2025-02-23 20:51:01+00:00,C,0,0,13.479452054794521,0,
tensorflow,2015-11-07 01:19:20+00:00,29281,213,2025-02-23 19:55:45+00:00,C++,100,0,9.304109589041095,0,1.0
You-Dont-Know-JS,2013-11-16 02:37:24+00:00,367,0,2025-02-23 18:25:55+00:00,,99,1,11.27945205479452,0,0.99
CS-Notes,2018-02-13 14:56:24+00:00,374,0,2025-02-23 19:10:48+00:00,,100,0,7.032876712328767,0,1.0
ohmyzsh,2009-08-28 18:15:37+00:00,3289,0,2025-02-23 20:44:25+00:00,Shell,100,0,15.501369863013698,0,1.0
computer-science,2014-05-04 00:18:39+00:00,283,0,2025-02-23 20:44:29+00:00,,100,0,10.816438356164383,0,1.0
